City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wladyslawowo,PL,54.79,18.4,64.99,100,65,3.36,mist
1,Northam,GB,51.03,-4.22,61.0,90,53,11.01,broken clouds
2,Chuy,UY,-33.7,-53.46,46.26,71,0,6.69,clear sky
3,Lodwar,KE,3.12,35.6,79.66,49,82,24.36,broken clouds
4,Dwarka,IN,22.24,68.97,83.28,86,100,19.19,light rain
5,Punta Arenas,CL,-53.15,-70.92,35.6,80,40,18.34,scattered clouds
6,Maragogi,BR,-9.01,-35.22,73.56,85,37,8.77,light rain
7,Norman Wells,CA,65.28,-126.83,69.8,49,20,12.75,few clouds
8,Pemangkat,ID,1.17,108.97,77.23,88,100,10.47,light rain
9,Busselton,AU,-33.65,115.33,51.01,86,39,9.08,scattered clouds
10,Prince Rupert,CA,54.32,-130.32,59.0,82,90,14.99,overcast clouds
11,Ponta Do Sol,PT,32.67,-17.1,73.4,73,20,14.99,few clouds
12,East London,ZA,-33.02,27.91,64.11,63,0,14.09,clear sky
13,Rikitea,PF,-23.12,-134.97,66.94,73,89,17.58,overcast clouds
14,Hobart,AU,-42.88,147.33,52.0,76,75,11.41,light intensity shower rain
15,Hermanus,ZA,-34.42,19.23,57.0,83,24,3.0,few clouds
16,Ostrogozhsk,RU,50.87,39.08,57.33,64,0,3.69,clear sky
17,Saint George,US,37.1,-113.58,102.99,21,1,12.75,clear sky
18,Port Alfred,ZA,-33.59,26.89,58.68,76,0,11.77,clear sky
19,Qaanaaq,GL,77.48,-69.36,37.94,86,100,1.97,overcast clouds
20,Srednekolymsk,RU,67.45,153.68,36.46,94,100,11.18,overcast clouds
21,Batemans Bay,AU,-35.72,150.18,57.0,67,11,5.99,few clouds
22,Shakawe,BW,-18.37,21.85,60.67,58,5,6.4,clear sky
23,Parkent,UZ,41.29,69.68,73.4,31,0,11.41,clear sky
24,Tarija,BO,-21.54,-64.73,46.0,54,91,2.35,overcast clouds
25,Albany,US,42.6,-73.97,82.99,61,0,6.17,clear sky
26,Bethel,US,41.37,-73.41,82.4,58,1,3.36,clear sky
27,Waingapu,ID,-9.66,120.26,79.95,61,26,9.33,scattered clouds
28,Tuktoyaktuk,CA,69.45,-133.04,53.6,81,20,12.75,few clouds
29,Dalvik,IS,65.97,-18.53,46.4,87,1,10.29,clear sky
30,Alberdi,AR,-32.89,-60.69,59.0,32,0,8.05,clear sky
31,Huambo,AO,-12.78,15.74,65.34,48,59,2.93,broken clouds
32,Sitka,US,57.05,-135.33,60.8,77,90,6.93,overcast clouds
33,Coolum Beach,AU,-26.53,153.1,61.0,35,0,5.01,clear sky
34,Severnyy,RU,50.68,36.55,57.2,67,0,4.47,clear sky
35,Vaini,TO,-21.2,-175.2,78.8,88,75,9.17,broken clouds
36,Mataura,NZ,-46.19,168.86,46.99,96,98,4.0,overcast clouds
37,New Norfolk,AU,-42.78,147.06,52.0,85,92,1.99,light rain
38,Tucuma,BR,-0.18,-50.05,78.1,86,2,6.31,clear sky
39,Swan Hill,AU,-35.34,143.55,49.93,64,0,16.17,clear sky
40,Cockburn Town,TC,21.46,-71.14,84.02,79,82,27.96,broken clouds
41,Kailua,US,21.4,-157.74,84.2,66,40,11.41,scattered clouds
42,Bolshaya Dzhalga,RU,45.97,42.7,69.94,39,90,8.81,overcast clouds
43,Klaksvik,FO,62.23,-6.59,46.4,81,92,14.99,light rain
44,Butaritari,KI,3.07,172.79,83.21,64,100,7.09,overcast clouds
45,Kulhudhuffushi,MV,6.62,73.07,82.85,72,40,6.22,scattered clouds
46,Sept-Iles,CA,50.2,-66.38,61.0,77,75,5.26,broken clouds
47,Kalmunai,LK,7.42,81.82,78.46,78,29,11.07,scattered clouds
48,Atuona,PF,-9.8,-139.03,78.31,78,41,17.76,scattered clouds
49,Ushuaia,AR,-54.8,-68.3,42.8,84,75,23.04,broken clouds
50,Kapaa,US,22.08,-159.32,86.0,62,1,12.75,clear sky
51,Yellowknife,CA,62.46,-114.35,60.8,59,40,14.99,scattered clouds
52,La Chapelle-Sur-Erdre,FR,47.3,-1.55,62.6,88,65,5.82,broken clouds
53,Nome,US,64.5,-165.41,55.4,87,90,13.87,overcast clouds
54,Barrow,US,71.29,-156.79,42.8,87,90,21.92,overcast clouds
55,Nanakuli,US,21.39,-158.15,89.6,52,40,8.05,scattered clouds
56,Muyezerskiy,RU,63.93,31.65,60.33,81,100,11.9,light rain
57,Umm Kaddadah,SD,13.6,26.69,82.33,59,25,14.12,scattered clouds
58,Carnarvon,AU,-24.87,113.63,62.6,82,94,9.17,overcast clouds
59,Bredasdorp,ZA,-34.53,20.04,48.2,93,22,4.7,few clouds
60,Labytnangi,RU,66.66,66.42,51.39,83,74,6.78,light rain
61,Karaton,ID,-6.34,106.1,77.0,78,20,4.7,haze
62,Longyearbyen,SJ,78.22,15.64,39.2,72,40,11.41,scattered clouds
63,Coruripe,BR,-10.13,-36.18,72.43,87,97,6.6,light rain
64,Katsuura,JP,35.13,140.3,80.01,79,100,3.0,moderate rain
65,Hervey Bay,AU,-25.3,152.85,64.0,30,0,14.99,clear sky
66,Raudeberg,NO,61.99,5.14,54.0,94,100,14.85,light rain
67,Mandera,KE,3.94,41.87,76.93,57,100,17.47,overcast clouds
68,Avarua,CK,-21.21,-159.78,77.0,69,9,12.75,clear sky
69,Fortuna,US,40.6,-124.16,68.0,77,1,14.99,clear sky
70,Jiexiu,CN,37.02,111.91,72.52,70,62,1.12,broken clouds
71,Hithadhoo,MV,-0.6,73.08,83.1,79,7,14.45,clear sky
72,Puerto Ayora,EC,-0.74,-90.35,66.99,87,78,5.99,broken clouds
73,Tiksi,RU,71.69,128.87,41.0,91,100,3.0,light rain
74,Nakanojo,JP,36.58,138.85,75.99,87,100,1.01,light rain
75,Ancud,CL,-41.87,-73.82,46.99,100,75,9.17,broken clouds
76,Dikson,RU,73.51,80.55,48.13,75,96,8.05,overcast clouds
77,Kudahuvadhoo,MV,2.67,72.89,83.57,69,37,7.16,scattered clouds
78,Weymouth,US,42.22,-70.94,75.2,88,45,10.29,light rain
79,Andra,RU,62.51,65.89,52.34,91,72,10.54,broken clouds
80,Mahebourg,MU,-20.41,57.7,69.8,77,40,12.75,scattered clouds
81,Robertsport,LR,6.75,-11.37,76.24,90,100,10.18,moderate rain
82,Salamiyah,SY,35.01,37.05,68.61,73,0,7.07,clear sky
83,Lavrentiya,RU,65.58,-171.0,47.12,94,99,6.35,light rain
84,Cape Town,ZA,-33.93,18.42,50.0,93,5,1.12,fog
85,Morondava,MG,-20.28,44.28,69.21,54,0,10.83,clear sky
86,Punto Fijo,VE,11.7,-70.2,84.47,73,59,11.52,light rain
87,Harper,LR,4.38,-7.72,75.83,88,68,11.32,broken clouds
88,Tutayev,RU,57.89,39.54,50.0,100,40,3.27,scattered clouds
89,Svetlogorsk,BY,52.63,29.73,56.35,79,22,7.31,few clouds
90,Provideniya,RU,64.38,-173.3,51.69,81,100,6.69,light rain
91,Kundiawa,PG,-6.02,144.97,69.84,64,88,2.62,overcast clouds
92,Puerto Escondido,MX,15.85,-97.07,84.2,62,90,2.26,moderate rain
93,Lumeje,AO,-11.55,20.78,68.88,34,68,4.81,broken clouds
94,Kamaishi,JP,39.27,141.88,73.4,94,75,4.7,light intensity drizzle
95,Cherskiy,RU,68.75,161.3,35.98,94,100,23.06,light rain
96,Tripoli,LY,32.88,13.19,77.88,66,0,4.9,clear sky
97,Tenenkou,ML,14.46,-4.92,77.41,68,77,5.08,broken clouds
98,Castro,BR,-24.79,-50.01,42.66,93,10,6.55,clear sky
99,Mouila,GA,-1.87,11.06,73.63,80,96,1.79,overcast clouds
100,Saint Anthony,US,45.02,-93.22,86.0,58,20,6.93,few clouds
101,Linqiong,CN,30.42,103.46,78.01,100,40,0.81,scattered clouds
102,Nikolskoye,RU,59.7,30.79,62.6,77,75,6.71,light intensity shower rain
103,Lunino,RU,53.59,45.23,57.0,52,0,4.47,clear sky
104,Kota Kinabalu,MY,5.97,116.07,78.01,88,20,3.36,few clouds
105,Shimoda,JP,34.67,138.95,77.0,94,75,6.93,light intensity shower rain
106,Upernavik,GL,72.79,-56.15,44.55,69,84,7.92,broken clouds
107,Narsaq,GL,60.92,-46.05,48.2,70,5,4.7,clear sky
108,Omboue,GA,-1.57,9.26,73.6,82,96,8.14,overcast clouds
109,Bluff,NZ,-46.6,168.33,48.0,95,100,4.0,overcast clouds
110,Teguldet,RU,57.31,88.17,49.89,98,38,4.05,scattered clouds
111,Isangel,VU,-19.55,169.27,82.4,69,20,11.41,few clouds
112,Cacu,BR,-18.56,-51.13,65.17,54,96,1.34,overcast clouds
113,Bengkulu,ID,-3.8,102.27,75.96,85,70,3.87,broken clouds
114,Mar Del Plata,AR,-38.0,-57.56,55.0,65,0,8.05,clear sky
115,Vila Do Maio,CV,15.13,-23.22,80.6,78,20,6.93,few clouds
116,Muros,ES,42.78,-9.06,62.01,88,3,5.86,clear sky
117,Tanout,NE,14.97,8.89,83.37,53,26,12.62,scattered clouds
118,Union,US,40.63,-74.27,87.01,51,1,3.36,clear sky
119,Olafsvik,IS,64.89,-23.71,50.32,65,30,5.23,scattered clouds
120,Poso,ID,-1.4,120.75,82.35,62,61,5.59,broken clouds
121,Saskylakh,RU,71.92,114.08,45.73,58,4,5.95,clear sky
122,Ha Noi,VN,21.02,105.84,78.8,88,40,4.7,fog
123,Sikonge,TZ,-5.63,32.77,63.25,55,79,6.24,broken clouds
124,Qaqortoq,GL,60.72,-46.03,48.2,70,5,4.7,clear sky
125,Pakdasht,IR,35.48,51.68,78.8,24,0,13.87,clear sky
126,Tanete,ID,-3.94,119.78,79.29,66,73,11.95,broken clouds
127,Tilichiki,RU,60.47,166.1,53.8,74,91,5.17,light rain
128,Coahuayana,MX,18.73,-103.68,78.8,83,90,17.22,thunderstorm with rain
129,Chumikan,RU,54.72,135.31,59.16,73,94,3.96,overcast clouds
130,Bontang,ID,0.13,117.5,79.75,86,80,6.02,broken clouds
131,Yarmouth,US,41.71,-70.23,75.0,88,75,12.75,moderate rain
132,Malanje,AO,-9.54,16.34,67.86,75,81,6.15,broken clouds
133,Evensk,RU,61.95,159.23,53.19,57,98,10.96,overcast clouds
134,Herat,AF,34.5,62.0,67.95,21,0,2.33,clear sky
135,Georgetown,MY,5.41,100.34,80.6,94,20,2.24,few clouds
136,Burnie,AU,-41.07,145.92,48.99,62,39,15.99,scattered clouds
137,Aiquile,BO,-18.2,-65.18,54.18,67,0,3.47,clear sky
138,Tuy Hoa,VN,13.08,109.3,80.78,78,96,5.01,overcast clouds
139,Tasiilaq,GL,65.61,-37.64,42.8,68,61,5.82,broken clouds
140,Imbituba,BR,-28.24,-48.67,55.4,71,7,2.24,clear sky
141,Henties Bay,NA,-22.12,14.28,65.05,29,0,6.49,clear sky
142,Kruisfontein,ZA,-34.0,24.73,51.01,91,0,6.31,clear sky
143,Vila Praia De Ancora,PT,41.81,-8.85,68.0,93,7,5.82,clear sky
144,Cabo San Lucas,MX,22.89,-109.91,90.0,52,5,11.41,clear sky
145,Saint-Pierre,RE,-21.34,55.48,64.4,59,0,6.93,clear sky
146,Mackay,AU,-21.15,149.2,68.0,29,33,13.87,scattered clouds
147,Laguna,US,38.42,-121.42,97.0,32,90,11.05,haze
148,Chokurdakh,RU,70.63,147.92,36.28,91,99,6.15,overcast clouds
149,Guarapari,BR,-20.67,-40.5,64.4,93,90,10.29,mist
150,Porto Murtinho,BR,-21.7,-57.88,57.7,60,63,1.83,broken clouds
151,Iqaluit,CA,63.75,-68.51,42.8,93,20,5.82,few clouds
152,Komsomolskiy,UZ,40.43,71.72,71.6,46,0,4.7,clear sky
153,Ballina,AU,-28.87,153.57,59.0,38,0,16.11,clear sky
154,Torbay,CA,47.67,-52.73,63.0,72,20,10.29,few clouds
155,Pacific Grove,US,36.62,-121.92,77.0,60,1,5.82,smoke
156,Igualada,ES,41.58,1.62,73.99,83,10,1.01,clear sky
157,Half Moon Bay,US,37.46,-122.43,86.0,87,1,10.29,clear sky
158,Kahului,US,20.89,-156.47,87.8,58,40,23.04,scattered clouds
159,Slavuta,UA,50.3,26.87,61.81,80,0,7.45,clear sky
160,Sao Filipe,CV,14.9,-24.5,79.07,79,48,4.36,scattered clouds
161,Verkhoyansk,RU,67.54,133.38,43.21,63,86,3.44,overcast clouds
162,Pulandian,CN,39.4,121.97,71.6,78,0,2.24,clear sky
163,Pinega,RU,64.7,43.39,56.05,94,0,4.72,clear sky
164,Kodiak,US,57.79,-152.41,62.6,72,1,6.93,clear sky
165,Karymskoye,RU,51.62,114.35,61.25,87,100,2.04,overcast clouds
166,Chunoyar,RU,57.45,97.32,55.96,92,100,3.6,overcast clouds
167,Jamestown,US,42.1,-79.24,78.8,54,1,9.17,clear sky
168,Keti Bandar,PK,24.14,67.45,84.4,86,100,16.11,overcast clouds
169,Pospelikha,RU,51.95,81.77,60.62,62,100,1.74,overcast clouds
170,Barcelona,ES,41.39,2.16,79.0,78,20,3.36,few clouds
171,Kidal,ML,18.44,1.41,91.98,38,0,10.07,clear sky
172,Meulaboh,ID,4.14,96.13,74.64,86,81,3.98,broken clouds
173,Oranjestad,AW,12.52,-70.03,86.0,79,20,11.41,few clouds
174,Voskresenskoye,RU,56.84,45.43,51.22,90,0,3.4,clear sky
175,Banavar,IN,13.41,76.17,70.92,86,92,4.92,overcast clouds
176,Umtata,ZA,-31.59,28.78,46.4,70,0,1.12,clear sky
177,Port Blair,IN,11.67,92.75,82.33,78,100,12.64,overcast clouds
178,Flinders,AU,-34.58,150.86,55.99,50,2,15.99,clear sky
179,Huarmey,PE,-10.07,-78.15,61.77,81,53,8.9,broken clouds
180,Altamont,US,42.21,-121.74,91.0,23,1,11.05,haze
181,Nemuro,JP,43.32,145.57,63.41,79,2,9.13,clear sky
182,Lasa,IT,46.62,10.7,59.0,100,5,3.36,clear sky
183,Port-Gentil,GA,-0.72,8.78,77.0,83,90,12.66,overcast clouds
184,Lebu,CL,-37.62,-73.65,47.23,88,0,4.54,clear sky
185,Husavik,IS,66.04,-17.34,46.4,87,9,10.29,clear sky
186,Ganzhou,CN,28.82,115.43,82.89,74,1,0.38,clear sky
187,Serenje,ZM,-13.23,30.24,53.47,79,17,9.15,few clouds
188,Havre-Saint-Pierre,CA,50.23,-63.6,55.4,76,1,14.99,clear sky
189,Kermanshah,IR,34.31,47.06,64.4,20,0,2.04,clear sky
190,Dingle,PH,11.0,122.67,82.13,80,98,1.74,light rain
191,Kirakira,SB,-10.45,161.92,84.94,72,100,11.72,light rain
192,Mapiripan,CO,2.89,-72.13,74.23,87,100,4.16,overcast clouds
193,Yumen,CN,40.28,97.2,67.23,38,10,11.97,clear sky
194,Foumban,CM,5.73,10.9,64.33,100,100,1.95,moderate rain
195,Khatanga,RU,71.97,102.5,55.24,60,4,7.81,clear sky
196,Rorvik,NO,64.86,11.24,59.11,85,81,19.08,broken clouds
197,Ngorongoro,TZ,-3.24,35.49,48.29,100,68,8.5,broken clouds
198,Mount Gambier,AU,-37.83,140.77,50.0,76,75,10.29,broken clouds
199,Bathsheba,BB,13.22,-59.52,82.4,78,20,4.7,few clouds
200,Goderich,CA,43.75,-81.72,78.01,76,6,4.79,clear sky
201,Clyde River,CA,70.47,-68.59,49.39,74,95,3.6,overcast clouds
202,Bambous Virieux,MU,-20.34,57.76,69.8,77,40,12.75,scattered clouds
203,Ambunti,PG,-4.24,142.84,80.04,89,22,1.99,moderate rain
204,Kaitangata,NZ,-46.28,169.85,51.01,83,55,17.0,broken clouds
205,Huaicheng,CN,23.91,112.19,81.14,81,24,0.51,few clouds
206,Mogadishu,SO,2.04,45.34,75.79,83,58,16.78,light rain
207,Beringovskiy,RU,63.05,179.32,56.03,76,85,12.71,light rain
208,Aksu,CN,41.12,80.26,71.24,42,0,3.15,clear sky
209,Souillac,MU,-20.52,57.52,69.8,77,40,12.75,scattered clouds
210,Gazojak,TM,41.19,61.4,77.5,17,42,13.4,scattered clouds
211,Arraial Do Cabo,BR,-22.97,-42.03,66.49,64,84,11.63,broken clouds
212,Coihaique,CL,-45.58,-72.07,48.2,61,75,5.82,broken clouds
213,Lovozero,RU,68.0,35.01,54.84,90,95,6.91,overcast clouds
214,Grand Gaube,MU,-20.01,57.66,68.0,80,30,3.0,light rain
215,Puerto Del Rosario,ES,28.5,-13.86,80.6,54,0,11.41,clear sky
216,San Ramon,US,37.78,-121.98,96.8,22,1,12.75,smoke
217,Mont-Dore,NC,-22.28,166.58,75.99,99,45,7.36,scattered clouds
218,Port Hardy,CA,50.7,-127.42,59.0,87,75,5.82,shower rain
219,Kpandu,GH,7.0,0.29,72.39,90,44,5.95,scattered clouds
220,Hambantota,LK,6.12,81.12,78.8,100,40,4.7,scattered clouds
221,Fatehgarh,IN,27.37,79.63,77.97,88,3,10.29,clear sky
222,Borogontsy,RU,62.67,131.17,53.26,43,0,3.0,clear sky
223,Yulara,AU,-25.24,130.99,57.2,34,0,10.29,clear sky
224,Nantucket,US,41.28,-70.1,73.4,88,75,9.17,broken clouds
225,Carman,CA,49.5,-98.0,75.99,57,40,10.0,scattered clouds
226,Nanortalik,GL,60.14,-45.24,45.46,77,4,2.06,clear sky
227,Hilo,US,19.73,-155.09,84.2,66,90,9.17,overcast clouds
228,San Cristobal,VE,7.77,-72.22,89.6,40,40,17.22,scattered clouds
229,Zlotow,PL,53.36,17.04,64.99,91,61,6.06,broken clouds
230,Rio Claro,BR,-22.41,-47.56,60.01,77,86,12.75,overcast clouds
231,Baley,RU,51.6,116.63,58.5,97,100,2.1,light rain
232,Necochea,AR,-38.55,-58.74,48.99,57,0,8.99,clear sky
